EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,DISIGNATION
100,Steven,King,SKING,515.123.4567,DevOps
101,Neena,Kochhar,NKOCHHAR,515.123.4568,DevOps
102,Lex,De Haan,LDEHAAN,515.123.4569,Testing
103,Alexander,Hunold,AHUNOLD,590.423.4567,DevOps
104,Bruce,Ernst,BERNST,590.423.4568,Developer
105,David,Austin,DAUSTIN,590.423.4569,DevOps
106,Valli,Pataballa,VPATABAL,590.423.4560 ,Developer
107,Diana,Lorentz,DLORENTZ,590.423.5567,DevOps
108,Nancy,Greenberg,NGREENBE,515.124.4569,Developer
109,Daniel,Faviet,DFAVIET,515.124.4169,Developer
110,John,Chen,JCHEN,515.124.4269 ,DevOps
111,Ismael,Sciarra,ISCIARRA,515.124.4369,Developer
112,Jose Manuel,Urman,JMURMAN,515.124.4469,Developer
113,Luis,Popp,LPOPP,515.124.4567,DevOps
114,Den,Raphaely,DRAPHEAL,515.127.4561,Developer
115,Alexander,Khoo,AKHOO,515.127.4562,Developer
116,Shelli,Baida,SBAIDA,515.127.4563,Testing
117,Sigal,Tobias,STOBIAS,515.127.4564,DevOps
118,Guy,Himuro,GHIMURO,515.127.4565,Testing
119,Karen,Colmenares,KCOLMENA,515.127.4566,DevOps
120,Matthew,Weiss,MWEISS,650.123.1234,Testing
121,Adam,Fripp,AFRIPP,650.123.2234,DevOps,Developer
122,Payam,Kaufling,PKAUFLIN,650.123.3234 ,DevOps
123,Shanta,Vollman,SVOLLMAN,650.123.4234m,DevOps
124,Kevin,Mourgos,KMOURGOS,650.123.5234,Developer
125,Julia,Nayer,JNAYER,650.124.1214,Testing
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,DevOps
127,James,Landry,JLANDRY,650.124.1334,Testing
128,Steven,Markle,SMARKLE,650.124.1434,Testing
129,Laura,Bissot,LBISSOT,650.124.5234,Testing
130,Mozhe,Atkinson,MATKINSO,650.124.6234,Testing
